name,ministry,image_url,phone,email,address,contact_info
Wab Kinew,Premier of Manitoba; President of the Executive Council; Minister of Intergovernmental Affairs and International Relations; Minister of Indigenous Reconciliation,https://www.gov.mb.ca/legislature/members/../img/mla/mla_small/kinew.jpg,(204) 945-3714,945-3714premier@manitoba.ca,Room 204(204),Room 204Phone: (204) 945-3714premier@manitoba.ca
Uzoma Asagwara,"Minister of Health, Seniors and Long-Term Care; Premier",https://www.gov.mb.ca/legislature/members/../img/mla/mla_small/asagwara.jpg,(204) 945-3731,945-3731minhsltc@manitoba.ca,Room 302(204),Room 302Phone: (204) 945-3731minhsltc@manitoba.ca
Ron Kostyshyn,Minister of Agriculture,https://www.gov.mb.ca/legislature/members/../img/mla/mla_small/kostyshyn.jpg,(204) 945-3722,945-3722minagr@manitoba.ca,Room 165(204),Room 165Phone: (204) 945-3722minagr@manitoba.ca
Matt Wiebe,Minister of Justice and Attorney General; Keeper of the Great Seal of the Province of Manitoba; Minister; responsible for the Manitoba Public Insurance Corporation,https://www.gov.mb.ca/legislature/members/../img/mla/mla_small/wiebe.jpg,(204) 945-3728,945-3728minjus@manitoba.ca,Room 104(204),Room 104Phone: (204) 945-3728minjus@manitoba.ca
Gender Equity,Honourable; Nahanni Fontaine; Minister of Families; Minister responsible for Accessibility; Minister responsible for Women and,https://www.gov.mb.ca/legislature/members/../img/mla/mla_small/fontaine.jpg,(204) 945-4173,945-4173minfs@manitoba.ca,Room 357(204),Room 357Phone: (204) 945-4173minfs@manitoba.ca
Bernadette Smith,"Minister of Housing, Addictions and Homelessness; Minister; responsible for Mental Health",https://www.gov.mb.ca/legislature/members/../img/mla/mla_small/smith.jpg,(204) 945-1211,945-1211minhah@manitoba.ca,Room  330(204),Room  330Phone: (204) 945-1211minhah@manitoba.ca
Ian Bushie,Minister of Natural Resources and Indigenous Futures,https://www.gov.mb.ca/legislature/members/../img/mla/mla_small/bushie.jpg,(204) 945-4364,945-4364minnrif@manitoba.ca,Room 301(204),Room 301Phone: (204) 945-4364minnrif@manitoba.ca
Malaya Marcelino,Minister of Labour and Immigration; Minister; responsible for the Workers Compensation Board,https://www.gov.mb.ca/legislature/members/../img/mla/mla_small/marcelino.jpg,(204) 945-8480,945-8480minli@manitoba.ca,Room 156(204),Room 156Phone: (204) 945-8480minli@manitoba.ca
"Business, Mining,",Honourable; Jamie Moses; Minister of Trade and Job Creation,https://www.gov.mb.ca/legislature/members/../img/mla/mla_small/moses.jpg,(204) 945-0067,945-0067minbmtjc@manitoba.ca,Room 358(204),Room 358Phone: (204) 945-0067minbmtjc@manitoba.ca
Lisa Naylor,Minister of Transportation and Infrastructure,https://www.gov.mb.ca/legislature/members/../img/mla/mla_small/naylor.jpg,(204) 945-3723,945-3723minmti@manitoba.ca,Room 203(204),Room 203Phone: (204) 945-3723minmti@manitoba.ca
Adrien Sala,Minister of Finance; Minister; responsible for Manitoba Hydro; Minister; responsible for the Manitoba Public Service,https://www.gov.mb.ca/legislature/members/../img/mla/mla_small/sala.jpg,(204) 945-3952,945-3952minfin@manitoba.ca,Room 103(204),Room 103Phone: (204) 945-3952minfin@manitoba.ca
Ren,Minister of Advanced Education and Training,https://www.gov.mb.ca/legislature/members/../img/mla/mla_small/cable.jpg,(204) 945-5854,945-5854minaet@manitoba.ca,Room  317(204),Room  317Phone: (204) 945-5854minaet@manitoba.ca
Tracy Schmidt,Minister of Education and Early Childhood Learning,https://www.gov.mb.ca/legislature/members/../img/mla/mla_small/schmidt.jpg,(204) 945-3720,945-3720mineecl@manitoba.ca,Room 168(204),Room 168Phone: (204) 945-3720mineecl@manitoba.ca
Glen Simard,Minister of Municipal and Northern Relations; Minister; responsible for Francophone Affairs; Minister; responsible for the Manitoba Liquor and Lotteries Corporation,https://www.gov.mb.ca/legislature/members/../img/mla/mla_small/simard.jpg,(204) 945-3788,945-3788minmnr@manitoba.ca,Room Â 141(204),Room Â 141Phone: (204) 945-3788minmnr@manitoba.ca
Mintu Sandhu,Minister of Public Service Delivery,https://www.gov.mb.ca/legislature/members/../img/mla/mla_small/sandhu.jpg,(204) 945-8821,945-8821minpsd@manitoba.ca,Room 343(204),Room 343Phone: (204) 945-8821minpsd@manitoba.ca
Nellie Kennedy,"Minister of Sport, Culture, Heritage and Tourism",https://www.gov.mb.ca/legislature/members/../img/mla/mla_small/kennedy.jpg,(204) 945-3729,945-3729minscht@manitoba.ca,Room 118(204),Room 118Phone: (204) 945-3729minscht@manitoba.ca
Mike Moroz,Minister of Innovation and New Technology,https://www.gov.mb.ca/legislature/members/../img/mla/mla_small/moroz.jpg,(204) 945-8280,945-8280minint@manitoba.ca,Room 314(204),Room 314Phone: (204) 945-8280minint@manitoba.ca
Mike Moyes,Minister of Environment and Climate Change; Minister; responsible for Efficiency Manitoba,https://www.gov.mb.ca/legislature/members/../img/mla/mla_small/moyes.jpg,(204) 945-3730,945-3730minecc@manitoba.ca,Room  344(204),Room  344Phone: (204) 945-3730minecc@manitoba.ca
