TITLE,LINK,BYLINE,FIRST_PARAGRAPH
Privacy commissioners find TikTok collected sensitive data from Canadian children,https://www.cbc.ca/lite/story/1.7640974,"Catharine Tunney | CBC News | Posted: September 23, 2025 5:51 PM | Last Updated: Just now",Social media platform has agreed to enhance age-verification methods
"Deal reached to keep TikTok operating in the U.S., Trump says",https://www.cbc.ca/lite/story/1.7635620,N/A,The U.S. president has given owner ByteDance another 90 days to finalize the agreement
"A cure for scrolling? Focus apps are popular, but experts warn more tech can add stress",https://www.cbc.ca/lite/story/1.7627301,"Alexandra Mae Jones | CBC News | Posted: September 9, 2025 8:00 AM | Last Updated: September 9",Viral app Focus Friend is the latest to gamify time away from screens
Potential presidential candidate says U.S.-Canada relations going through 'storm' provoked by Trump government,https://www.cbc.ca/lite/story/1.7640989,"Kate McKenna | CBC News | Posted: September 23, 2025 3:06 PM | Last Updated: 4 hours ago","Former U.S. transportation secretary Pete Buttigieg speaks to rapt Ottawa crowd, hints at 2028 run"
"Canadian politicians, experts push back against U.S. ambassador's anti-Americanism concerns",https://www.cbc.ca/lite/story/1.7639396,"Benjamin Lopez Steven | CBC News | Posted: September 20, 2025 7:12 PM | Last Updated: September 20",Pete Hoekstra said he’s ‘disappointed’ with Canada’s attitude toward U.S. relations
Carney's 'Buy Canadian' policy expected to be fully in place next year: source,https://www.cbc.ca/lite/story/1.7636363,"David Thurton | CBC News | Posted: September 20, 2025 8:00 AM | Last Updated: September 20",Policy is one of several supports for tariff-impacted sectors announced this month
U.S. ambassador 'disappointed' with anti-American sentiment in Canada,https://www.cbc.ca/lite/story/1.7637534,"Ashley Burke | CBC News | Posted: September 18, 2025 9:21 PM | Last Updated: September 19","Finance minister's comments about trade war don't help, Hoekstra says"
"Canada, Mexico agree to deepen ties in face of Trump's turbulent 2nd term",https://www.cbc.ca/lite/story/1.7637709,"Darren Major , Catharine Tunney | CBC News | Posted: September 18, 2025 11:23 PM | Last Updated: September 19",New partnership comes as the North American trade deal is soon up for review
Canada to launch CUSMA consultations after U.S. ambassador says bigger deal not in the cards,https://www.cbc.ca/lite/story/1.7636356,"Ashley Burke | CBC News | Posted: September 17, 2025 7:45 PM | Last Updated: September 18",U.S. started clock to review free trade pact by announcing its own consultations
S&P/TSX composite index reaches record high as energy and base metals sector soars,https://www.cbc.ca/lite/story/1.7641053,N/A,Big tech news boosting American stocks
